Sex Agemos   L        M        S        P3       P5       P10      P25      P50      P75      P90      P95      P97
1   173.5     1.96893 166.9528  0.04776 151.2363 153.2935 156.4099 161.4872 166.9528 172.2504 176.8868 179.6061 181.3509
1   174.5     2.01678 167.4641  0.04750 151.7521 153.8127 156.9319 162.0078 167.4641 172.7455 177.3622 180.0676 181.8027
1   175.5     2.06011 167.9571  0.04724 152.2575 154.3200 157.4399 162.5118 167.9571 173.2213 177.8183 180.5102 182.2358
1   176.5     2.09876 168.4313  0.04697 152.7517 154.8147 157.9334 162.9988 168.4313 173.6778 178.2551 180.9338 182.6503
1   177.5     2.13264 168.8867  0.04670 153.2342 155.2961 158.4118 163.4685 168.8867 174.1148 178.6727 181.3385 183.0463
1   178.5     2.16167 169.3231  0.04643 153.7043 155.7638 158.8747 163.9205 169.3231 174.5324 179.0712 181.7247 183.4242
1   179.5     2.18585 169.7405  0.04615 154.1615 156.2174 159.3218 164.3547 169.7405 174.9309 179.4510 182.0927 183.7842
1   180.5     2.20518 170.1393  0.04589 154.6056 156.6566 159.7529 164.7713 170.1393 175.3105 179.8124 182.4429 184.1270
1   181.5     2.21972 170.5195  0.04562 155.0360 157.0811 160.1680 165.1701 170.5195 175.6716 180.1559 182.7757 184.4528
1   182.5     2.22959 170.8815  0.04536 155.4526 157.4907 160.5669 165.5514 170.8815 176.0146 180.4820 183.0918 184.7624
1   183.5     2.23490 171.2257  0.04510 155.8552 157.8853 160.9498 165.9154 171.2257 176.3400 180.7912 183.3916 185.0562
1   184.5     2.23583 171.5525  0.04484 156.2436 158.2650 161.3167 166.2625 171.5525 176.6483 181.0841 183.6757 185.3349
1   185.5     2.23256 171.8626  0.04460 156.6178 158.6298 161.6679 166.5929 171.8626 176.9402 181.3614 183.9449 185.5990
1   186.5     2.22532 172.1563  0.04436 156.9777 158.9798 162.0035 166.9072 172.1563 177.2163 181.6236 184.1997 185.8493
1   187.5     2.21435 172.4343  0.04413 157.3235 159.3150 162.3239 167.2057 172.4343 177.4771 181.8715 184.4408 186.0863
1   188.5     2.19990 172.6972  0.04390 157.6551 159.6359 162.6294 167.4890 172.6972 177.7234 182.1056 184.6687 186.3107
1   189.5     2.18226 172.9456  0.04368 157.9729 159.9425 162.9204 167.7576 172.9456 177.9558 182.3267 184.8843 186.5231
1   190.5     2.16170 173.1801  0.04347 158.2770 160.2352 163.1973 168.0120 173.1801 178.1750 182.5353 185.0879 186.7240
1   191.5     2.13852 173.4014  0.04327 158.5676 160.5143 163.4605 168.2528 173.4014 178.3815 182.7322 185.2804 186.9142
1   192.5     2.11302 173.6101  0.04308 158.8450 160.7802 163.7104 168.4805 173.6101 178.5762 182.9179 185.4623 187.0941
1   193.5     2.08549 173.8067  0.04290 159.1095 161.0332 163.9476 168.6958 173.8067 178.7595 183.0931 185.6341 187.2643
1   194.5     2.05622 173.9920  0.04272 159.3614 161.2738 164.1725 168.8991 173.9920 178.9321 183.2583 185.7965 187.4254
1   195.5     2.02549 174.1665  0.04255 159.6011 161.5023 164.3856 169.0911 174.1665 179.0946 183.4140 185.9498 187.5779
1   196.5     1.99359 174.3308  0.04240 159.8290 161.7191 164.5873 169.2722 174.3308 179.2476 183.5609 186.0948 187.7222
1   197.5     1.96078 174.4854  0.04225 160.0455 161.9247 164.7782 169.4431 174.4854 179.3915 183.6995 186.2318 187.8588
1   198.5     1.92732 174.6310  0.04210 160.2508 162.1196 164.9587 169.6041 174.6310 179.5271 183.8302 186.3613 187.9881
1   199.5     1.89343 174.7680  0.04197 160.4456 162.3041 165.1292 169.7560 174.7680 179.6547 183.9535 186.4837 188.1106
1   200.5     1.85933 174.8969  0.04184 160.6300 162.4786 165.2903 169.8991 174.8969 179.7748 184.0699 186.5995 188.2267
1   201.5     1.82524 175.0182  0.04172 160.8046 162.6437 165.4424 170.0339 175.0182 179.8880 184.1797 186.7091 188.3368
1   202.5     1.79133 175.1323  0.04161 160.9697 162.7997 165.5860 170.1608 175.1323 179.9946 184.2835 186.8128 188.4411
1   203.5     1.75778 175.2398  0.04150 161.1258 162.9470 165.7214 170.2804 175.2398 180.0950 184.3815 186.9110 188.5400
1   204.5     1.72473 175.3410  0.04140 161.2733 163.0860 165.8491 170.3931 175.3410 180.1896 184.4741 187.0040 188.6338
1   205.5     1.69232 175.4362  0.04131 161.4125 163.2172 165.9694 170.4991 175.4362 180.2789 184.5617 187.0922 188.7229
1   206.5     1.66066 175.5259  0.04122 161.5438 163.3409 166.0828 170.5990 175.5259 180.3631 184.6446 187.1757 188.8075
1   207.5     1.62984 175.6104  0.04114 161.6676 163.4575 166.1897 170.6930 175.6104 180.4426 184.7230 187.2550 188.8878
1   208.5     1.59996 175.6901  0.04107 161.7843 163.5673 166.2903 170.7816 175.6901 180.5176 184.7972 187.3302 188.9642
1   209.5     1.57108 175.7652  0.04100 161.8942 163.6708 166.3851 170.8650 175.7652 180.5885 184.8676 187.4016 189.0368
1   210.5     1.54325 175.8360  0.04093 161.9977 163.7682 166.4743 170.9436 175.8360 180.6555 184.9343 187.4694 189.1058
1   211.5     1.51652 175.9028  0.04087 162.0951 163.8598 166.5583 171.0176 175.9028 180.7189 184.9975 187.5338 189.1715
1   212.5     1.49091 175.9658  0.04082 162.1866 163.9461 166.6373 171.0873 175.9658 180.7789 185.0576 187.5951 189.2340
1   213.5     1.46645 176.0254  0.04077 162.2727 164.0272 166.7116 171.1529 176.0254 180.8357 185.1146 187.6534 189.2936
1   214.5     1.44314 176.0816  0.04072 162.3537 164.1034 166.7816 171.2148 176.0816 180.8895 185.1687 187.7088 189.3503
1   215.5     1.42099 176.1348  0.04068 162.4297 164.1751 166.8474 171.2732 176.1348 180.9405 185.2202 187.7617 189.4044
1   216.5     1.39999 176.1850  0.04064 162.5011 164.2424 166.9094 171.3282 176.1850 180.9889 185.2692 187.8120 189.4560
1   217.5     1.38014 176.2326  0.04060 162.5681 164.3057 166.9676 171.3801 176.2326 181.0348 185.3159 187.8600 189.5052
1   218.5     1.36140 176.2776  0.04057 162.6310 164.3651 167.0224 171.4290 176.2776 181.0784 185.3603 187.9057 189.5522
1   219.5     1.34376 176.3202  0.04054 162.6900 164.4209 167.0740 171.4752 176.3202 181.1199 185.4026 187.9494 189.5971
1   220.5     1.32719 176.3606  0.04052 162.7453 164.4733 167.1224 171.5188 176.3606 181.1593 185.4430 187.9911 189.6399
1   221.5     1.31166 176.3989  0.04049 162.7972 164.5224 167.1680 171.5599 176.3989 181.1968 185.4815 188.0309 189.6809
1   222.5     1.29714 176.4352  0.04047 162.8458 164.5686 167.2109 171.5988 176.4352 181.2325 185.5182 188.0690 189.7201
1   223.5     1.28360 176.4697  0.04045 162.8914 164.6119 167.2513 171.6355 176.4697 181.2666 185.5534 188.1054 189.7575
1   224.5     1.27099 176.5024  0.04043 162.9341 164.6526 167.2892 171.6701 176.5024 181.2990 185.5869 188.1402 189.7934
1   225.5     1.25928 176.5335  0.04042 162.9741 164.6907 167.3250 171.7029 176.5335 181.3300 185.6190 188.1736 189.8277
1   226.5     1.24843 176.5630  0.04041 163.0115 164.7265 167.3585 171.7339 176.5630 181.3595 185.6497 188.2055 189.8606
1   227.5     1.23840 176.5911  0.04040 163.0465 164.7600 167.3902 171.7632 176.5911 181.3877 185.6791 188.2360 189.8922
1   228.5     1.22916 176.6179  0.04039 163.0793 164.7915 167.4199 171.7910 176.6179 181.4147 185.7073 188.2653 189.9224
1   229.5     1.22066 176.6433  0.04038 163.1100 164.8210 167.4479 171.8172 176.6433 181.4405 185.7343 188.2934 189.9513
1   230.5     1.21286 176.6676  0.04037 163.1387 164.8487 167.4742 171.8421 176.6676 181.4651 185.7601 188.3204 189.9791
1   231.5     1.20574 176.6907  0.04037 163.1656 164.8746 167.4990 171.8657 176.6907 181.4887 185.7849 188.3462 190.0058
1   232.5     1.19925 176.7127  0.04036 163.1907 164.8989 167.5224 171.8880 176.7127 181.5113 185.8087 188.3711 190.0314
1   233.5     1.19335 176.7337  0.04036 163.2142 164.9217 167.5444 171.9091 176.7337 181.5330 185.8316 188.3949 190.0560
1   234.5     1.18802 176.7538  0.04036 163.2361 164.9431 167.5651 171.9292 176.7538 181.5538 185.8535 188.4178 190.0797
1   235.5     1.18321 176.7730  0.04036 163.2566 164.9631 167.5846 171.9483 176.7730 181.5737 185.8746 188.4399 190.1024
1   236.5     1.17890 176.7913  0.04036 163.2757 164.9819 167.6029 171.9663 176.7913 181.5928 185.8949 188.4610 190.1242
1   237.5     1.17505 176.8088  0.04036 163.2936 164.9995 167.6203 171.9835 176.8088 181.6111 185.9144 188.4814 190.1452
1   238.5     1.17164 176.8255  0.04036 163.3103 165.0160 167.6366 171.9998 176.8255 181.6287 185.9331 188.5010 190.1654
1   239.5     1.16863 176.8415  0.04036 163.3259 165.0315 167.6519 172.0153 176.8415 181.6456 185.9512 188.5198 190.1849
1   240.0     1.16727 176.8492  0.04037 163.3333 165.0389 167.6593 172.0227 176.8492 181.6538 185.9599 188.5290 190.1943
2    60.5    -0.05773 107.9566  0.04427  99.3504 100.3891 102.0109 104.7829 107.9566 111.2321 114.2701 116.1301 117.3552
2    61.5    -0.07721 108.5436  0.04434  99.8847 100.9289 102.5599 105.3488 108.5436 111.8431 114.9052 116.7808 118.0166
2    62.5    -0.09572 109.1316  0.04441 100.4198 101.4696 103.1098 105.9156 109.1316 112.4548 115.5408 117.4320 118.6783
2    63.5    -0.11323 109.7202  0.04447 100.9555 102.0110 103.6604 106.4831 109.7202 113.0671 116.1768 118.0834 119.3402
2    64.5    -0.12967 110.3092  0.04453 101.4916 102.5529 104.2115 107.0512 110.3092 113.6797 116.8130 118.7348 120.0019
2    65.5    -0.14500 110.8984  0.04459 102.0279 103.0948 104.7628 107.6194 110.8984 114.2923 117.4490 119.3858 120.6632
2    66.5    -0.15920 111.4876  0.04465 102.5640 103.6367 105.3141 108.1877 111.4876 114.9048 118.0845 120.0362 121.3238
2    67.5    -0.17222 112.0764  0.04470 103.0996 104.1782 105.8650 108.7556 112.0764 115.5167 118.7193 120.6857 121.9832
2    68.5    -0.18405 112.6646  0.04476 103.6346 104.7191 106.4154 109.3230 112.6646 116.1278 119.3531 121.3340 122.6413
2    69.5    -0.19466 113.2519  0.04481 104.1685 105.2590 106.9648 109.8895 113.2519 116.7379 119.9855 121.9807 123.2977
2    70.5    -0.20403 113.8380  0.04486 104.7012 105.7976 107.5131 110.4549 113.8380 117.3466 120.6163 122.6256 123.9521
2    71.5    -0.21217 114.4226  0.04491 105.2323 106.3348 108.0599 111.0189 114.4226 117.9537 121.2452 123.2684 124.6042
2    72.5    -0.21907 115.0055  0.04496 105.7615 106.8701 108.6050 111.5812 115.0055 118.5588 121.8718 123.9086 125.2536
2    73.5    -0.22472 115.5863  0.04501 106.2886 107.4033 109.1480 112.1415 115.5863 119.1616 122.4959 124.5461 125.9000
2    74.5    -0.22914 116.1648  0.04505 106.8132 107.9342 109.6888 112.6996 116.1648 119.7619 123.1171 125.1804 126.5432
2    75.5    -0.23234 116.7406  0.04510 107.3351 108.4624 110.2270 113.2550 116.7406 120.3594 123.7352 125.8114 127.1827
2    76.5    -0.23432 117.3136  0.04514 107.8541 108.9877 110.7623 113.8077 117.3136 120.9537 124.3499 126.4387 127.8184
2    77.5    -0.23513 117.8833  0.04518 108.3698 109.5099 111.2944 114.3572 117.8833 121.5447 124.9608 127.0620 128.4500
2    78.5    -0.23477 118.4496  0.04522 108.8820 110.0285 111.8232 114.9034 118.4496 122.1320 125.5678 127.6811 129.0771
2    79.5    -0.23329 119.0123  0.04526 109.3905 110.5435 112.3483 115.4460 119.0123 122.7154 126.1705 128.2957 129.6996
2    80.5    -0.23070 119.5710  0.04530 109.8949 111.0545 112.8696 115.9847 119.5710 123.2946 126.7688 128.9056 130.3171
2    81.5    -0.22706 120.1254  0.04534 110.3952 111.5613 113.3867 116.5193 120.1254 123.8695 127.3623 129.5105 130.9295
2    82.5    -0.22240 120.6755  0.04538 110.8909 112.0638 113.8995 117.0496 120.6755 124.4397 127.9510 130.1103 131.5365
2    83.5    -0.21677 121.2210  0.04542 111.3821 112.5616 114.4077 117.5754 121.2210 125.0051 128.5345 130.7047 132.1380
2    84.5    -0.21021 121.7617  0.04546 111.8684 113.0546 114.9112 118.0964 121.7617 125.5655 129.1127 131.2936 132.7338
2    85.5    -0.20277 122.2974  0.04549 112.3496 113.5427 115.4097 118.6125 122.2974 126.1207 129.6855 131.8768 133.3238
2    86.5    -0.19452 122.8279  0.04553 112.8257 114.0256 115.9031 119.1235 122.8279 126.6706 130.2526 132.4542 133.9077
2    87.5    -0.18549 123.3531  0.04557 113.2963 114.5031 116.3913 119.6293 123.3531 127.2150 130.8140 133.0256 134.4857
